Date\Country,Critical
US,9220
Spain,7069
Italy,3693
Germany,4895
France,7131
Iran,3987
United Kingdom,1559
Turkey,1474
Belgium,1276
Switzerland,391
Netherlands,1424
Canada,426
Brazil,296
Portugal,245
Austria,267
South Korea,55
Israel,147
Russia,8
Sweden,678
Norway,78
Australia,87
India,0
Ireland,165
Chile,362
Denmark,127
Czechia,103
Poland,160
Romania,162
Japan,80
Pakistan,25
Malaysia,76
Ecuador,156
Philippines,1
Saudi Arabia,41
Luxembourg,34
Indonesia,0
Peru,109
Mexico,89
Serbia,112
United Arab Emirates,1
Finland,82
Thailand,61
Panama,91
Qatar,37
Dominican Republic,147
Greece,84
Colombia,76
South Africa,7
Argentina,96
Ukraine,33
Singapore,29
Iceland,13
Algeria,46
Egypt,0
Croatia,36
Morocco,1
New Zealand,4
Iraq,0
Estonia,11
Moldova,80
Slovenia,35
Belarus,33
Hong Kong,14
Lithuania,21
Hungary,17
Armenia,30
Kuwait,21
Azerbaijan,23
Bahrain,3
Bosnia and Herzegovina,4
Kazakhstan,21
Diamond Princess,10
Cameroon,0
Slovakia,3
Tunisia,67
North Macedonia,15
Bulgaria,27
Latvia,5
Lebanon,29
Andorra,17
Uzbekistan,8
Cyprus,13
Costa Rica,14
Cuba,15
Uruguay,14
Afghanistan,0
Oman,3
Albania,7
Burkina Faso,0
Taiwan,0
Reunion,4
Jordan,5
Ivory Coast,0
Channel Islands,0
Ghana,2
Honduras,10
Malta,4
San Marino,14
Niger,0
Mauritius,3
Kyrgyzstan,5
Palestine,0
Nigeria,2
Vietnam,8
Montenegro,7
Senegal,1
Bangladesh,1
Bolivia,3
Georgia,6
Sri Lanka,5
Faeroe Islands,1
Congo (Kinshasa),0
Kenya,2
Mayotte,3
Venezuela,6
Isle of Man,7
Martinique,20
Guinea,0
Guadeloupe,14
Brunei,3
Djibouti,0
Gibraltar,0
Paraguay,1
Cambodia,1
Trinidad and Tobago,0
Rwanda,0
El Salvador,2
Madagascar,1
Guatemala,3
Monaco,4
Liechtenstein,0
French Guiana,1
Aruba,0
Togo,0
Barbados,4
Jamaica,0
Mali,0
Ethiopia,1
Uganda,0
French Polynesia,0
Congo (Brazzaville),0
Cayman Islands,0
Macao,1
Sint Maarten,2
Bermuda,0
Zambia,0
The Bahamas,1
Guyana,4
Guinea-Bissau,0
Saint Martin,6
Eritrea,0
Gabon,0
Benin,0
Haiti,0
Tanzania,0
Myanmar,0
Libya,0
Antigua and Barbuda,1
Syria,0
Maldives,0
New Caledonia,0
Angola,0
Mozambique,0
Equatorial Guinea,0
Mongolia,0
Namibia,0
Dominica,0
Fiji,0
Laos,0
Liberia,0
Sudan,0
Saint Lucia,0
Curacao,0
Somalia,0
Grenada,2
Eswatini,0
Zimbabwe,0
Greenland,0
Saint Kitts and Nevis,0
Seychelles,0
Suriname,0
Chad,0
MS Zaandam,0
Nepal,0
Montserrat,1
Belize,1
Malawi,1
Turks and Caicos,0
Central African Republic,0
Saint Vincent and the Grenadines,0
Cabo Verde,0
Vatican City,0
Sierra Leone,0
Botswana,0
Mauritania,0
Nicaragua,0
St. Barth,0
Bhutan,0
The Gambia,0
Sao Tome and Principe,0
Western Sahara,0
Anguilla,0
British Virgin Islands,0
Burundi,0
Caribbean Netherlands,0
Falkland Islands,0
Papua New Guinea,0
South Sudan,0
Saint Pierre Miquelon,0
East Timor,0
China,189
World,47975
Europe,31589
