Date\Country,Critical
US,8623
Spain,6861
Italy,3977
Germany,3936
France,6838
Iran,4103
United Kingdom,1559
Turkey,1381
Switzerland,391
Belgium,1261
Netherlands,1385
Canada,426
Austria,244
Portugal,267
Brazil,296
South Korea,55
Israel,139
Sweden,541
Norway,89
Australia,91
Russia,8
Ireland,165
Czechia,86
Chile,307
Denmark,142
Poland,50
Romania,141
Malaysia,99
Ecuador,100
India,0
Philippines,1
Pakistan,18
Japan,64
Luxembourg,33
Saudi Arabia,41
Peru,81
Indonesia,0
Thailand,23
Finland,73
Serbia,98
Mexico,1
Panama,75
United Arab Emirates,1
Dominican Republic,147
Greece,93
South Africa,7
Qatar,37
Iceland,11
Colombia,50
Argentina,86
Algeria,46
Singapore,25
Ukraine,16
Croatia,39
Egypt,0
Estonia,17
New Zealand,3
Morocco,1
Slovenia,31
Iraq,0
Hong Kong,8
Moldova,80
Armenia,30
Lithuania,11
Hungary,17
Diamond Princess,10
Bahrain,3
Bosnia and Herzegovina,4
Cameroon,0
Azerbaijan,17
Kazakhstan,6
Tunisia,39
Belarus,11
Kuwait,17
North Macedonia,15
Latvia,4
Bulgaria,22
Lebanon,28
Andorra,12
Slovakia,3
Costa Rica,14
Cyprus,11
Uruguay,13
Taiwan,0
Albania,7
Afghanistan,0
Burkina Faso,0
Jordan,5
Reunion,4
Uzbekistan,8
Cuba,11
Channel Islands,0
Oman,3
Honduras,10
San Marino,14
Ivory Coast,0
Vietnam,3
Palestine,0
Nigeria,2
Mauritius,1
Malta,3
Senegal,1
Ghana,2
Montenegro,4
Niger,0
Faeroe Islands,1
Sri Lanka,5
Georgia,6
Venezuela,6
Bolivia,3
Congo (Kinshasa),0
Martinique,21
Kyrgyzstan,5
Kenya,2
Brunei,3
Guadeloupe,14
Mayotte,3
Isle of Man,0
Guinea,0
Cambodia,1
Trinidad and Tobago,0
Paraguay,2
Rwanda,0
Gibraltar,0
Bangladesh,1
Liechtenstein,0
Monaco,4
Madagascar,6
Aruba,0
El Salvador,4
Guatemala,1
French Guiana,1
Djibouti,0
Jamaica,0
Barbados,4
Uganda,0
Congo (Brazzaville),0
Mali,0
Togo,0
Macao,0
Ethiopia,1
French Polynesia,0
Zambia,0
Bermuda,0
Cayman Islands,0
Saint Martin,6
Eritrea,0
The Bahamas,1
Sint Maarten,0
Guyana,0
Tanzania,0
Benin,0
Gabon,0
Haiti,0
Myanmar,0
Syria,0
Maldives,0
Libya,0
Guinea-Bissau,0
New Caledonia,0
Equatorial Guinea,0
Namibia,0
Antigua and Barbuda,1
Angola,0
Dominica,0
Mongolia,0
Saint Lucia,0
Liberia,0
Sudan,0
Fiji,0
Grenada,2
Curacao,0
Greenland,0
Laos,0
Suriname,0
Mozambique,0
Saint Kitts and Nevis,0
Seychelles,0
MS Zaandam,0
Zimbabwe,0
Nepal,0
Chad,0
Eswatini,0
Central African Republic,0
Cabo Verde,0
Vatican City,0
Saint Vincent and the Grenadines,0
Somalia,0
Botswana,0
Mauritania,0
Nicaragua,0
Montserrat,0
St. Barth,0
Sierra Leone,0
Turks and Caicos,0
Belize,1
Bhutan,0
The Gambia,0
Malawi,0
Western Sahara,0
Anguilla,0
British Virgin Islands,0
Burundi,0
Caribbean Netherlands,0
Falkland Islands,0
Papua New Guinea,0
Saint Pierre Miquelon,0
South Sudan,0
East Timor,0
China,295
World,45532
