Date\Country,Critical
US,9169
Spain,7069
Italy,3792
France,7131
Germany,4895
Iran,3987
United Kingdom,1559
Turkey,1474
Switzerland,391
Belgium,1260
Netherlands,1424
Canada,426
Brazil,296
Austria,243
Portugal,271
South Korea,55
Israel,149
Sweden,640
Russia,8
Norway,78
Australia,93
Ireland,165
India,0
Chile,337
Denmark,127
Czechia,86
Poland,50
Romania,274
Pakistan,28
Malaysia,92
Japan,79
Philippines,1
Ecuador,156
Luxembourg,35
Peru,109
Saudi Arabia,41
Indonesia,0
Serbia,109
Mexico,89
United Arab Emirates,1
Finland,81
Thailand,61
Panama,88
Qatar,37
Dominican Republic,147
Greece,90
Colombia,76
South Africa,7
Argentina,96
Iceland,11
Singapore,29
Algeria,46
Ukraine,16
Egypt,0
Croatia,35
Morocco,1
New Zealand,4
Estonia,12
Iraq,0
Slovenia,30
Moldova,80
Hong Kong,12
Lithuania,11
Belarus,31
Armenia,30
Hungary,17
Bahrain,4
Bosnia and Herzegovina,4
Kuwait,23
Azerbaijan,23
Diamond Princess,10
Kazakhstan,16
Cameroon,0
Tunisia,39
North Macedonia,15
Slovakia,3
Bulgaria,21
Lebanon,29
Latvia,5
Andorra,17
Uzbekistan,8
Cyprus,13
Costa Rica,14
Uruguay,14
Afghanistan,0
Cuba,15
Burkina Faso,0
Albania,7
Taiwan,0
Oman,3
Reunion,4
Jordan,5
Ivory Coast,0
Channel Islands,0
Honduras,10
Malta,4
Ghana,2
San Marino,14
Niger,0
Mauritius,3
Palestine,0
Nigeria,2
Vietnam,8
Montenegro,7
Senegal,1
Kyrgyzstan,5
Georgia,6
Bolivia,3
Sri Lanka,5
Faeroe Islands,2
Congo (Kinshasa),0
Kenya,2
Mayotte,3
Venezuela,6
Bangladesh,1
Martinique,20
Isle of Man,6
Guinea,0
Guadeloupe,14
Brunei,3
Paraguay,1
Cambodia,1
Gibraltar,0
Trinidad and Tobago,0
Rwanda,0
Djibouti,0
Madagascar,6
Monaco,4
El Salvador,4
Liechtenstein,0
Guatemala,3
Aruba,0
French Guiana,1
Togo,0
Barbados,4
Jamaica,0
Mali,0
Ethiopia,1
Uganda,0
French Polynesia,0
Congo (Brazzaville),0
Cayman Islands,0
Macao,1
Sint Maarten,2
Bermuda,0
Zambia,0
The Bahamas,1
Guyana,4
Guinea-Bissau,0
Saint Martin,6
Eritrea,0
Gabon,0
Benin,0
Haiti,0
Tanzania,0
Myanmar,0
Libya,0
Syria,0
Antigua and Barbuda,1
Maldives,0
New Caledonia,0
Angola,0
Equatorial Guinea,0
Namibia,0
Dominica,0
Fiji,0
Mongolia,0
Liberia,0
Sudan,0
Laos,0
Saint Lucia,0
Curacao,0
Grenada,2
Zimbabwe,0
Greenland,0
Saint Kitts and Nevis,0
Seychelles,0
Suriname,0
Chad,0
Mozambique,0
Eswatini,0
MS Zaandam,0
Nepal,0
Montserrat,1
Malawi,1
Turks and Caicos,0
Central African Republic,0
Saint Vincent and the Grenadines,0
Somalia,0
Belize,1
Cabo Verde,0
Vatican City,0
Botswana,0
Mauritania,0
Nicaragua,0
St. Barth,0
Sierra Leone,0
Bhutan,0
The Gambia,0
Sao Tome and Principe,0
Western Sahara,0
Anguilla,0
British Virgin Islands,0
Burundi,0
Caribbean Netherlands,0
Falkland Islands,0
Papua New Guinea,0
South Sudan,0
Saint Pierre Miquelon,0
East Timor,0
China,211
World,47912
Europe,31584
